bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [e7ot93x2m8qsbjt84srqwk]","ms":"+3ms","span_id":"3371495e6248cff4","timestamp":"2026-02-25T10:42:54.558Z","trace_flags":"01","trace_id":"17dda28d03aa42ecbe7e2d54411739f9"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [xl9ef4pxi97spbqdpxy7v]","ms":"+30s","span_id":"2644c203c3e6002c","timestamp":"2026-02-25T10:43:24.628Z","trace_flags":"01","trace_id":"5c2ec482086217a6b08ebdc9bda5c00a"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [xl9ef4pxi97spbqdpxy7v]","ms":"+2ms","span_id":"9a0cb292876f96ba","timestamp":"2026-02-25T10:43:24.630Z","trace_flags":"01","trace_id":"5c2ec482086217a6b08ebdc9bda5c00a"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [nu0osd7egu0fuiwz45ly97]","ms":"+30s","span_id":"3fd0ec1c6a94c9bb","timestamp":"2026-02-25T10:43:54.689Z","trace_flags":"01","trace_id":"6a5963fabcc3e69e543223053b8f21a6"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [nu0osd7egu0fuiwz45ly97]","ms":"+2ms","span_id":"0eebe4ae9996980d","timestamp":"2026-02-25T10:43:54.691Z","trace_flags":"01","trace_id":"6a5963fabcc3e69e543223053b8f21a6"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [9ibexgvomivunic3x8piyp]","ms":"+30s","span_id":"7c9977abf9809330","timestamp":"2026-02-25T10:44:24.765Z","trace_flags":"01","trace_id":"2f0f6e57305b1dde8ee68523537eb3db"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [9ibexgvomivunic3x8piyp]","ms":"+3ms","span_id":"f4bba17ef02ae1d3","timestamp":"2026-02-25T10:44:24.768Z","trace_flags":"01","trace_id":"2f0f6e57305b1dde8ee68523537eb3db"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [4vtxgp3it86c9hbrqajp26]","ms":"+30s","span_id":"54cba4704d70febd","timestamp":"2026-02-25T10:44:54.830Z","trace_flags":"01","trace_id":"32a3bb1da355b0980703e12de4c8d681"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [4vtxgp3it86c9hbrqajp26]","ms":"+2ms","span_id":"61f1d8cdddd710a9","timestamp":"2026-02-25T10:44:54.832Z","trace_flags":"01","trace_id":"32a3bb1da355b0980703e12de4c8d681"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [k4i30k8n6rqf7owjfdf125]","ms":"+30s","span_id":"4fb4774c3399f55a","timestamp":"2026-02-25T10:45:24.921Z","trace_flags":"01","trace_id":"a8c5e10572028423fce5884cc466e895"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [k4i30k8n6rqf7owjfdf125]","ms":"+3ms","span_id":"e1552608cb3c0e91","timestamp":"2026-02-25T10:45:24.924Z","trace_flags":"01","trace_id":"a8c5e10572028423fce5884cc466e895"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [2pprzr9ij65jgzrmt1a4wc]","ms":"+30s","span_id":"9a57217e426870e3","timestamp":"2026-02-25T10:45:54.987Z","trace_flags":"01","trace_id":"0a7967b344f68a2b89568f8fb0a2c2fa"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [2pprzr9ij65jgzrmt1a4wc]","ms":"+2ms","span_id":"88d0ecca5b36e588","timestamp":"2026-02-25T10:45:54.989Z","trace_flags":"01","trace_id":"0a7967b344f68a2b89568f8fb0a2c2fa"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [66vlbxgn4x610qcg86chqv8]","ms":"+30s","span_id":"757a2ccbe0057edd","timestamp":"2026-02-25T10:46:25.066Z","trace_flags":"01","trace_id":"2aeba0bd2c75e0b7c6b1eb8024445d9d"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 2ms [66vlbxgn4x610qcg86chqv8]","ms":"+2ms","span_id":"2922e6325d54948e","timestamp":"2026-02-25T10:46:25.068Z","trace_flags":"01","trace_id":"2aeba0bd2c75e0b7c6b1eb8024445d9d"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [r78o3mu5cn4e7jfk5mnex]","ms":"+30s","span_id":"57a218770343b0b7","timestamp":"2026-02-25T10:46:55.131Z","trace_flags":"01","trace_id":"61a27908638e41189ee8c7393a0ea58e"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 3ms [r78o3mu5cn4e7jfk5mnex]","ms":"+4ms","span_id":"6bddb58e8e1b9967","timestamp":"2026-02-25T10:46:55.135Z","trace_flags":"01","trace_id":"61a27908638e41189ee8c7393a0ea58e"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"→ HEAD /health - 127.0.0.1 Wget/1.25.0 [8i0boooqg0vfluf48l58t]","ms":"+30s","span_id":"c62ce93a114ff90b","timestamp":"2026-02-25T10:47:25.204Z","trace_flags":"01","trace_id":"91561800fe048d45b5ebc5b5ed34db4d"}
bw-orders-service  | {"context":"HTTP","level":"info","message":"✓ HEAD /health 200 225b - 4ms [8i0boooqg0vfluf48l58t]","ms":"+4ms","span_id":"5cf7a981cdf7583b","timestamp":"2026-02-25T10:47:25.208Z","trace_flags":"01","trace_id":"91561800fe048d45b5ebc5b5ed34db4d"}
